user_name,date,text,hashtags
Greg Reyes,2022-10-13 04:20:07+00:00,"These images gives me chills. They both fought and gave it their all. 

I have high hopes for the future of Drag Culture in the Philippines. I couldn’t have asked for a better cast. #DragRacePhilippines #DragRacePh #TeamMarina #TeamPreciousPaulaNicole https://t.co/xcv7OFd3P7",
dee,2022-10-13 03:30:53+00:00,"MY QUEEN! 👸 💗

#TeamPreciousPaulaNicole #DragRacePH https://t.co/rKTZs7SU3t","['TeamPreciousPaulaNicole', 'DragRacePH']"
dee,2022-10-13 03:30:14+00:00,"I just want to say TANGINA NYO MGA MARINA STANS NA PPN HATER!!!

Precious Paula Nicole ate that episode from the runways to the lipsyncs. Dasurv 💗 #TeamPreciousPaulaNicole #DragRacePH",
Zia Ullah,2022-10-13 03:16:00+00:00,"Teamwork and Intelligence are the parts of success.
#SuccesQuotes #quote #MondayMotivation #TeamPreciousPaulaNicole #TeamMarinaSummers #TeamStacks #TeamPrecious #teamwork #LifeLessons #InspirationAhead #InspireExcellenceThroughSoccer https://t.co/g3FxuvX8SU","['SuccesQuotes', 'quote', 'MondayMotivation', 'TeamPreciousPaulaNicole']"
jules,2022-10-13 02:45:38+00:00,#TeamPreciousPaulaNicole FROM DAY 1 !!!!!!!!! WOOOOOOO,['TeamPreciousPaulaNicole']
alyssa,2022-10-13 02:16:37+00:00,Good morning to the queen and The first Drag Superstar of the Philippines  @PreciousPaulaN still on a high from your win last night! I love you Queen 👑 #TeamPrecious #TeamPreciousPaulaNicole,
Von Martin,2022-10-13 01:25:32+00:00,Congrats @PreciousPaulaN - well manifested here! 🤣❤️ #DragRacePH #DragRacePhilippines #TeamPreciousPaulaNicole https://t.co/rxhg6LnpRa,"['DragRacePH', 'DragRacePhilippines', 'TeamPreciousPaulaNicole']"
Carl Chavez,2022-10-13 01:16:47+00:00,#TeamPreciousPaulaNicole 5Ever! https://t.co/44lpXNILsr,['TeamPreciousPaulaNicole']
Von Martin,2022-10-13 01:13:15+00:00,"I know you're gonna win! 1st episode palang I predicted that ganun ako ka sure. Love yah @PreciousPaulaN 🍻❤️🍾 YOU FUCKING DESERVED IT!!! 

#DragRacePH #DragRacePhilippines #TeamPreciousPaulaNicole 
@RuPaulsDragRace https://t.co/eotSPUk97F",
Summer :',2022-10-13 00:57:29+00:00,@PreciousPaulaGL Congratssss #TeamPreciousPaulaNicole,['TeamPreciousPaulaNicole']
kakaibabe donna ❤️,2022-10-12 23:16:02+00:00,"@PreciousPaulaN YOU DESERVE ALL THE LOVE AND RECOGNITION IN THE WOLRD! Salamat din sayo my queen! ❤️ #TeamPreciousPaulaNicole 
https://t.co/feU99CjElo",
kakaibabe donna ❤️,2022-10-12 23:14:56+00:00,"@PreciousPaulaN Congrats my queen!! ❤️❤️❤️ sobrang happy ko talagaaaaa~ sulit lahat ng pagod and sacrifices mo. Simula pa lang ito ng new beginnings ng life mo, and I am still here and willing to support you always! Labyu Ka! #TeamPreciousPaulaNicole 
 https://t.co/QxJLyONAWW",
Anne Jamnague,2022-10-12 22:51:35+00:00,"But @PreciousPaulaN was SO READY to give it all. From lip sync 1 dress reveal, props, and dance moves to the final round where she has shown a classic Pinay talent, gahhhhd, she deserved every bit of it! #TeamPreciousPaulaNicole #DragRacePHfinale #DragRacePHfinale @dragraceph",
chie-duhmar,2022-10-12 22:48:18+00:00,I KNEW IT!!! #TeamPreciousPaulaNicole 💗💗💗💗,['TeamPreciousPaulaNicole']
jea,2022-10-12 22:46:58+00:00,"Congratulations @PreciousPaulaN!!! Dasurv ng soobra, deadma na sa bashers!!! We love you and we are so proud of you! 💗 #TeamPreciousPaulaNicole #DragRacePhilippines https://t.co/CnGNErZmn6",
Anne Jamnague,2022-10-12 22:40:51+00:00,SOBRANG WORTH THE WAIT!!! SHEEEEET! CONGRATULATIONS MAMA @PreciousPaulaN!! I FCKN KNEW IT!! #DragRacePH #TeamPreciousPaulaNicole,"['DragRacePH', 'TeamPreciousPaulaNicole']"
AngryPropesora,2022-10-12 22:25:25+00:00,"SHE ATE AND LEFT NO CRUMBS. 

Good morning my Queen.  @PreciousPaulaN. ♥️👑

#PreciousPaulaNicole #TeamPreciousPaulaNicole https://t.co/aAImU6kjy6",['PreciousPaulaNicole']
Precious baby ni PPN ✨,2022-10-12 21:48:39+00:00,"But he chose to talk to us, thank us for being soooo supportive of him and we promise to support you all throughout your journey ma! @PreciousPaulaN we love you a d CONDRAGULATIONS!! 

#TeamPrecious 
#PreciousPaulaNicole
#DragRacePH 
#PreciouHeart
#TeamPreciousPaulaNicole",
Josh,2022-10-12 21:47:00+00:00,"Nectar's reaction. Congrats @PreciousPaulaN!!! 😭❤️👑

#TeamPrecious
#TeamPreciousPaulaNicole
#DragRacePH 
#DragRacePhilippines 
#DragRace https://t.co/bXTgdWZBtX","['TeamPrecious', 'TeamPreciousPaulaNicole', 'DragRacePH']"
C H I C H A Y,2022-10-12 19:56:03+00:00,Will forever love and support you! @PreciousPaulaN #TeamPreciousPaulaNicole https://t.co/ej2JVlx11M,['TeamPreciousPaulaNicole']
Lance Trevor,2022-10-12 19:17:19+00:00,"@katyaspangina Eto favorite ko din... Pati ung Flag ruveal sa huli with matching tingin sa heaven/ceiling with teary effect!

Goosebumps!
 #TeamPreciousPaulaNicole",
ALISTAIR🦋 #TeamVinasDeLuxe,2022-10-12 19:11:49+00:00,@PreciousPaulaN You a WINNER gurrrrll!! #DragRacePhilippines #DragRacePH #TeamPreciousPaulaNicole #PreciousPaulaNicole #PPN special mahalo Jess and Deejay for getting my Drag Race Philippines🇵🇭 merch to the USA🇺🇸 Aloha🌺 https://t.co/vmu7RfCgsu https://t.co/9B4fN3kn3o,"['DragRacePhilippines', 'DragRacePH', 'TeamPreciousPaulaNicole']"
Pauii Targaryen 🔥🐉💗🐶☕️,2022-10-12 18:38:58+00:00,"ConDRAGulations, my queen! @PreciousPaulaN ! 😍😍😍 @dragraceph #DragRacePHfinale #TeamPreciousPaulaNicole 

Congrats to Dragmom @ladygagitaofcl too! 💗💗💗 https://t.co/BjpcVV9AMX https://t.co/0WPWz1Fhdi","['DragRacePHfinale', 'TeamPreciousPaulaNicole']"
Radhika,2022-10-12 18:35:17+00:00,Funny video @Camila64115413 @SwatiKumariZee #chainsawman #ComingOutDay #JENNIE #TeamPreciousPaulaNicole @Radhika24363350 @Saurabh04637608 @Resmi_R_Nair @EvaMauldon https://t.co/nfHkDT4RlF,"['chainsawman', 'ComingOutDay', 'JENNIE', 'TeamPreciousPaulaNicole']"
Vi,2022-10-12 18:34:33+00:00,"Totoo ang chismis, na most na nag babash sa #TeamPreciousPaulaNicole are first timer drag race fans. Naging fan lang netong dragraceph. I mean, try to watch other seasons to understand like rpdrs10. Ops.",['TeamPreciousPaulaNicole']
Ray Bhandz,2022-10-12 18:22:37+00:00,Ray Bhandz - Sometimes I Feel https://t.co/XqXfjfWOBA via @YouTube #chainsawman #ApologizeTojhope #JIMINDAY #เดี่ยว13 #HappyJiminDay #ComingOutDay #รัก7ปี #JeffSatur #JacksonWangWorldTour #คิดถึงคนบนฟ้า #TeamPreciousPaulaNicole #JENNIE #,"['chainsawman', 'ApologizeTojhope', 'JIMINDAY']"
Vero Nyambura,2022-10-12 18:21:36+00:00,"Blogging at Eagles Connections: Free Internet Marketing Method https://t.co/AGdHxOK4fP
#chainsawman #JENNIE #TeamPreciousPaulaNicole #คิดถึงคนบนฟ้า #JIMINDAY #UkraineRussianWar #EaglesConnections","['chainsawman', 'JENNIE']"
kakaibabe shara ❤️,2022-10-12 18:18:51+00:00,"#PreciousLoves representz!

Here for @PreciousPaulaN 👑🫶🏻
#TeamPrecious #TeamPreciousPaulaNicole https://t.co/RVin646wSJ","['PreciousLoves', 'TeamPrecious', 'TeamPreciousPaulaNicole']"
Jaanna Lapatha,2022-10-12 18:17:38+00:00,@kerricolby Lipsync battles in #dragraceph is 👌 #TeamPreciousPaulaNicole #TeamMarina #dragraceph,"['dragraceph', 'TeamPreciousPaulaNicole', 'TeamMarina', 'dragraceph']"
𝒍𝒊𝒕𝒂𝒍 𝒄𝒐𝒉𝒆𝒏 🇮🇱,2022-10-12 18:15:43+00:00,"https://t.co/mJfsCS45ba  
It's unbelievable how one man can change it all.
This MV is absolutely CRAZY!
#TeamPreciousPaulaNicole #Musica #Yeg #ConstellationCup #HalaMadrid #stream #ArchanaGautamm #love #Live #Listen #PlayStationStars #GoodVibes #mood #USA",
vivek Singh,2022-10-12 18:12:11+00:00,"Life is a enjoyin now 😍😎😘😘😍
Don't West a time 😎😊#Viveksingh 
#lifeisgood #newpost #chainsawman #UkraineRussianWar #JIMINDAY #HARUTO #Ukraine #dolar #HappyJiminDay #ComingOutDay #COVID19 #JacksonWangWorldTour #TeamMarina #TeamPreciousPaulaNicole  Thank you so much everyone https://t.co/ix2EVNLXAr","['Viveksingh', 'lifeisgood', 'newpost', 'chainsawman', 'UkraineRussianWar']"
Loanskingstocks,2022-10-12 18:09:03+00:00,"💰🛑LOANS LOANS LOANS LOANS
LOANS 🛑🛑🛑🛑🛑
🛑🛑🛑🛑🛑PAYDAY LOANS
CLICK LINK BELOW. 
#PValley #loans #money #earnmoney #employees #money
#cash #loveandhiphop
#ComingOutDay #jefferydahmer
#UkraineRussianWar #JeffSatur
#TeamPreciousPaulaNicole
https://t.co/gsht5pWC73","['PValley', 'loans', 'money', 'earnmoney']"
P A P A R A D O👑,2022-10-12 18:04:25+00:00,"SHE GOT THE ENERGY🔥💯💃🏽
#secondcomingchallenge #ForTheRoad
#TeamPreciousPaulaNicole #คิดถึงคนบนฟ้า #รัก7ปี 
-
https://t.co/S6CFiZZ2Tk https://t.co/0MNx8c0Wbr","['secondcomingchallenge', 'ForTheRoad', 'TeamPreciousPaulaNicole', 'คิดถึงคนบนฟ้า', 'รัก7ปี']"
GOE,2022-10-12 18:02:55+00:00,"Don't let your fear of failure be stronger than your desire for success 

#JIMINDAY #UkraineRussianWar #ApologizeTojhope #chainsawman #dolar #penuriecarburant #เดี่ยว13 #JeffSatur #JENNIE #TeamPreciousPaulaNicole","['JIMINDAY', 'UkraineRussianWar']"
cc2008cc,2022-10-12 17:55:26+00:00,I’m back 😈#chainsawman #ApologizeTojhope #UkraineRussianWar #JIMINDAY #penuriecarburant #dolar #เดี่ยว13 #HappyJiminDay #ComingOutDay #รัก7ปี #JeffSatur #JacksonWangWorldTour #JENNIE #TeamPreciousPaulaNicole,"['chainsawman', 'ApologizeTojhope', 'UkraineRussianWar', 'JIMINDAY', 'penuriecarburant', 'dolar', 'เดี่ยว13']"
Saby Khanna,2022-10-12 17:55:08+00:00,Looking for new friends 😍 #dolar #HARUTO #chainsawman #chennai #girls #dating #LoveStory #UkraineRussianWar #JIMINDAY #Ukraine #HappyJiminDay #ComingOutDay #TeamPreciousPaulaNicole #COVID19 #TeamMarina https://t.co/n0QpKMg02Q,"['dolar', 'HARUTO', 'chainsawman', 'chennai', 'girls', 'dating', 'LoveStory', 'UkraineRussianWar']"
shane david,2022-10-12 17:54:39+00:00,"Walang halong biro when i found out that precious paula nicole is part of DRPH alam ko na agad sino mananalo! She was the first drag queen i fell in love with! 💖
#DragRacePH #TeamPreciousPaulaNicole",
FNK TV,2022-10-12 17:51:05+00:00,"Watch Why Rita Marley Relocated to Ghana for over 2 Decades Now // Fnktv Etalk

Click link to watch full video https://t.co/0AIKi4wEdD

#ApologizeTojhope #UkraineRussianWar #JIMINDAY #dolar #HappyJiminDay #ComingOutDay #JeffSatur #JacksonWangWorldTour #TeamPreciousPaulaNicole https://t.co/9pPMUTfDpB https://t.co/22m3P7WAsl",
Danielle,2022-10-12 17:41:42+00:00,In love with @PreciousPaulaN’s Cruella vibes in the finale!!!! #TeamPreciousPaulaNicole all the way!!!!!,['TeamPreciousPaulaNicole']
Renuka Singh,2022-10-12 17:34:03+00:00,"Hey friends new video uploaded 👇 
https://t.co/0w7F9cDajJ
Please like share and Subscribe 
#chainsawman #UkraineRussianWar #JIMINDAY #HARUTO #Ukraine #dolar #เดี่ยว13 #HappyJiminDay #ComingOutDay #คิดถึงคนบนฟ้า #TeamPreciousPaulaNicole #KarwaChauth #Polygon #Varisu",['chainsawman']
iamistressmariz,2022-10-12 17:28:32+00:00,"CONGRATULATIONS PRECIOUS PAULA NICOLE! ❤️❤️❤️

YOU DESERVE THE CROWN, YOU DESERVE EVERYTHING!

THANK YOU FOR NOT JUST BEING A GREAT DRAG QUEEN, BUT AN AMAZING PERSON! ❤️❤️❤️

#TeamPreciousPaulaNicole
#TeamPrecious
@PreciousPaulaN",
Green Savannah Diplomatic Cable,2022-10-12 17:01:22+00:00,One of the enemies within causing setbacks for our gallant soldiers in Nigeria caught #UkraineRussianWar #penuriecarburant #HARUTO #chainsawman #PeterObi4President2023 #dolar #DragRacePHfinale #MilanChelsea #JeffSatur #JIMINDAY #COVID19 #TeamPreciousPaulaNicole https://t.co/oEvb1XFLKe,['UkraineRussianWar']
Martha Amethyst🔮,2022-10-12 16:28:51+00:00,"Congratulations to our first ever DRAG RACE PHILIPPINES SUPERSTAR WINNER Precious Paula Nicole LOVE U BHE!!!  🫶🏻✨❤️🇵🇭

#teampreciouspaulanicole
#DragRacePH 
#pinoydragqueens https://t.co/NtVbcc7pfm",
Don Brandon Barreto,2022-10-12 16:28:37+00:00,@WonderShanShine @katyaspangina Even Marina were/was/is too stunned to speak! 😭😭😭😂😂😂😂😂 #TeamPreciousPaulaNicole,['TeamPreciousPaulaNicole']
kakaibabe mani ❤️,2022-10-12 16:27:11+00:00,"Congratulations to our First Drag Race Philippines Superstar, @PreciousPaulaN!💖

#TeamPreciousPaulaNicole are proud of you! We love you!

#DragRacePH https://t.co/W0c3f1vaVz",['TeamPreciousPaulaNicole']
Post 🌸,2022-10-12 16:22:58+00:00,"Super dasurv!!! #TeamPreciousPaulaNicole since forever!!! Congrats, queen! 💕 https://t.co/6uJ2yb6MXC",['TeamPreciousPaulaNicole']
kakaibabe tricia❤️,2022-10-12 16:22:28+00:00,Congratulations ma love you always @PreciousPaulaN you really deserve everything!! (sorry fave photo) #TeamPreciousPaulaNicole https://t.co/UDwmpe50Kf,
Kay Aquende,2022-10-12 16:20:41+00:00,woooohoooooooo!!!! #TeamPreciousPaulaNicole we won!!! https://t.co/1GsJTV9Tun,['TeamPreciousPaulaNicole']
Meanne,2022-10-12 16:20:37+00:00,"Your mama is behind you, Queen @PreciousPaulaN. #DragRacePHfinale #TeamPreciousPaulaNicole 

VIDEO:
https://t.co/2mruzmA7HA https://t.co/28TXRYERn0","['DragRacePHfinale', 'TeamPreciousPaulaNicole']"
𝚖𝚊𝚜𝚑𝚎𝚠 🍦,2022-10-12 16:17:54+00:00,"DASURVVVV!!! Condragulations, @PreciousPaulaN!! 👑🏁❤️

#TeamPreciousPaulaNicole @dragraceph",['TeamPreciousPaulaNicole']
Archie Malabanan,2022-10-12 16:13:53+00:00,"#DragRacePHfinale I knew it, Precious it is. I am Team Marina and Team Eva pero ramdam ko na from Ep 5/6 palang si Precious na to sa huli. It was a good show though. Congrats, #TeamPreciousPaulaNicole !",['DragRacePHfinale']
Infinite Nueve Productions llc,2022-10-12 16:12:32+00:00,Check out Djnúeve9's video! #TikTok https://t.co/KhfnkZNB2B #TeamPreciousPaulaNicole #DragRacePHfinale #dolar #ohno #art,"['TikTok', 'TeamPreciousPaulaNicole', 'DragRacePHfinale', 'dolar', 'ohno', 'art']"
reyn,2022-10-12 16:12:28+00:00,anw #TeamMarina and #TeamPreciousPaulaNicole FOREVER!! &lt;33,"['TeamMarina', 'TeamPreciousPaulaNicole']"
mara paula nicole | divoto + tampalpukean 💖✨,2022-10-12 16:06:57+00:00,"like the v quick spaghetti for such a brief moment during the “tila lalong lumambot” lyric

even without the reveals, hindi talaga one-note yung performance ♥️✨

it’s everythinggg 😭

i cant help w the essays, ang husay lang talaga.

#DragRacePHfinale 
#TeamPreciousPaulaNicole",
Jeff 101,2022-10-12 16:06:57+00:00,"Check out @DucatusX platform.  #Ducatus is a cryptocurrency that offers good startups, security and charity. 
Download the #Ducatus App Today ➡️ 📲Android: https://t.co/rlbm2F3bCx
📲IOS: https://t.co/zlXlKYm8gl
#TeamPreciousPaulaNicole #cryptomarket #ETH #Web3 #DEX #fcklive https://t.co/ZJDGn7evgK",['Ducatus']
DON SULTAN musick,2022-10-12 16:05:48+00:00,"One of the greatest cities. #dolar #cities #COVID19 #Nairobi #penuriecarburant #Kenya #CityAsOne #TeamPreciousPaulaNicole #TheLegendOfMaulaJatt #HARUTO #JacksonWangWorldTour 
@citizentvkenya @Kbstvnews1

Youtube&gt;&gt;https://t.co/cspmShRdJB https://t.co/FHxDmzfzQW","['dolar', 'cities', 'COVID19', 'Nairobi', 'penuriecarburant', 'Kenya', 'CityAsOne']"
SERVOSHOPS,2022-10-12 16:03:27+00:00,"😍😍HOT😍😍
New in stock. Click on the link below 👇🏼👇🏼 to order now

https://t.co/vEiCE9AQUQ @servoshops @GHMusicAwards @YAWTOG_ @YAWTOG_ @NsiaYaw2 @IAMAWARRIORESS @AishaIbrahimesq @_kwekujay #COVID19 #TeamPreciousPaulaNicole #UkraineRussianWar #JacksonWangWorldTour",
Riby.yuh,2022-10-12 16:02:44+00:00,"Congratulations! @PreciousPaulaN 
Dusurve!
#TeamPreciousPaulaNicole",['TeamPreciousPaulaNicole']
MwArabU,2022-10-12 16:01:44+00:00,"*WhatsApp* *0794983876* *UEFA TONIGHT 63 odds @10:00pm* *a VERY* *ACCURATE ODD* today kick off at *22:00pm* Ticket *BOOKING* is on going, *MAKSURE* YOU *BOOK* the Ticket
@SportPesa_com @betikaKe @castrofy26 #HARUTO #PeterObi4President2023 #Liverpool #TeamPreciousPaulaNicole https://t.co/bbYoirDHlj",
💯% Fixed Guaranteed Surebet 🎉🎖️🏆⚽,2022-10-12 16:00:11+00:00,"SUCCESSFULLY WON ALL WINNING HAVE BEEN UPDATED FOR ALL DOUBTING THOMAS TO CONFIRM AS USUAL 👆👆👆👆👆👆👆👆👆👆
Chat admin up for more update on our upcoming fixed correct score #TheLegendOfMaulaJatt #TeamPreciousPaulaNicole https://t.co/jdfdBXaPB4",
Don Brandon Barreto,2022-10-12 15:59:35+00:00,"Y’all!!! PPN killed that lipsync between Marina! Bat ang pait nyo?! 

#DragRacePHfinale #TeamPreciousPaulaNicole #BossRodolfo","['DragRacePHfinale', 'TeamPreciousPaulaNicole', 'BossRodolfo']"
frowsed,2022-10-12 15:54:15+00:00,First person to tell me all of the genders gets a follow! #HARUTO #PeterObi4President2023 #dolar #DragRacePHfinale #ไบร์ทตู #JIMINDAY #JacksonWangWorldTour #COVID19 #TeamPreciousPaulaNicole #TheLegendOfMaulaJatt #gay #LGBTQ #LGBT https://t.co/5lSA5010fO,"['HARUTO', 'PeterObi4President2023', 'dolar', 'DragRacePHfinale']"
Leonardo Lorenzo,2022-10-12 15:53:10+00:00,"Out there against are wall with his tools putting the electric cable on. Connected it too are gas main
Blood clots so ill In hospitals

#chainsawman #UkraineRussianWar #penuriecarburant #HARUTO #PeterObi4President2023 #dolar #COVID19 #TeamPreciousPaulaNicole",
frowsed,2022-10-12 15:51:00+00:00,@Zarnlongdrago my eyes 💀 #HARUTO #PeterObi4President2023 #dolar #DragRacePHfinale #ไบร์ทตู #JIMINDAY #JacksonWangWorldTour #COVID19 #TeamPreciousPaulaNicole #TheLegendOfMaulaJatt #gay #LGBTQ #LGBT,"['HARUTO', 'PeterObi4President2023', 'dolar', 'DragRacePHfinale', 'ไบร์ทตู', 'JIMINDAY']"
Essem,2022-10-12 15:50:32+00:00,Wise words from Gucci Mane 🗣 #musicican #rapper #entertainment #guccimane #motivation #success #entrepreneur #HARUTO #DragRacePHfinale #MilanChelsea #JeffSatur #JIMINDAY #JacksonWangWorldTour #TeamPreciousPaulaNicole #PeterObi4President2023 #essem #essemusic #essemmorady https://t.co/jDPCwHecbg,"['musicican', 'rapper', 'entertainment', 'guccimane', 'motivation', 'success', 'entrepreneur']"
Sami,2022-10-12 15:43:00+00:00,Holding You Forever https://t.co/RhCO9F6w9y via @YouTube #JacksonWangWorldTour #COVID19 #TeamPreciousPaulaNicole #abdurozik #TheLegendOfMaulaJatt #AEWDynamite #samiabouzid,"['JacksonWangWorldTour', 'COVID19', 'TeamPreciousPaulaNicole']"
🧚‍♀️,2022-10-12 15:38:00+00:00,"she got the fucking crown! 🥹👑 love you, @PreciousPaulaN 💓 will always be proud of ü — ready na ang buong team ppn sa victory party!!!!!! 🥰👏 #TeamPrecious #TeamPreciousPaulaNicole #DragRacePhilippines https://t.co/dSSWRYcQEB",
Hase💕,2022-10-12 15:18:38+00:00,HELLO I CAN FINALLY SAY THAT A DRAG RACE SUPERSTAR SAT ON ME HUHU CONGRATS MY QUEEN @PreciousPaulaN #TeamPrecious #TeamPreciousPaulaNicole https://t.co/wbw4wrWk0l,['TeamPrecious']
PRN Booster,2022-10-12 15:14:05+00:00,"Learn about the latest from the #UkraineRussianWar at https://t.co/KycuX2wglT… 
  
#TeamPreciousPaulaNicole #الوالدة_حميدة #9EuroTicket #คิดถึงคนบนฟ้า #โหนกระแส #Ukraine #Ukraina #russiaisaterrorisstate #russiaisateroriststate #RussiaTerroristState #RussiaisATerroistState","['UkraineRussianWar', 'TeamPreciousPaulaNicole']"
POPOY,2022-10-12 15:11:57+00:00,"#TEAMPRECIOUS #TeamPreciousPaulaNicole ALL THE WAY! MGA ACCLA, KNOW YOUR SHOW. MARINA WON EVERY EPISODE PERO THIS FINALE TALAGA ANG NAGMAMATTER. MARINA SLAYED PERO PPN DEVOURED THAT LIP SYNC! WELL DESERVED BOSS RODOLFO! ROOTING FOR VIÑAS AND DIVINE DIVAS TALAGA! 💖💖💖 https://t.co/ewU5poceFl","['TEAMPRECIOUS', 'TeamPreciousPaulaNicole']"
mara paula nicole | divoto + tampalpukean 💖✨,2022-10-12 15:09:05+00:00,"imagine: precious gave her all just to be able to compete, fought to the finale, SLAYED THAT LIPSYNC, then went home and struggled for MONTHS until the promo came out

now this

this is her moment &amp; she deserves it ♥️✨👸

#DragRacePH 
#DragRacePHfinale
#TeamPreciousPaulaNicole https://t.co/6bC0y3U65B",
cj,2022-10-12 15:08:11+00:00,"These two incredible queens really slayed the lipsync performance. But the finale part is my fave, made a part of my heart cry. Mahal ko kayo @PreciousPaulaN @marinaxsummers!

#DragRacePhilippines #DragRacePH 
#TeamPreciousPaulaNicole #TeamMarinaSummers https://t.co/P71HFdhak8",
Cara Eriguel-Rabat,2022-10-12 15:08:08+00:00,OMGGGGG MY HEART!! #TeamPreciousPaulaNicole !!!!! 👑👑👑,['TeamPreciousPaulaNicole']
Andy Crocker💎,2022-10-12 15:07:24+00:00,"Congrats! Ate @PreciousPaulaN !
I'm a Forever Fan! 🥰.
#TeamPreciousPaulaNicole https://t.co/auBFEoyAgw",['TeamPreciousPaulaNicole']
medjtech intern:eraaa,2022-10-12 14:58:27+00:00,This moment ✨ #DragRacePH #DragRacePhilippines #DragRace #TeamPreciousPaulaNicole https://t.co/B4FVAH5TA1 https://t.co/k4uENBSHRQ,"['DragRacePH', 'DragRacePhilippines', 'DragRace', 'TeamPreciousPaulaNicole']"
Vi,2022-10-12 14:57:56+00:00,Congratulations @PreciousPaulaN #TeamPreciousPaulaNicole  🥹🥹,['TeamPreciousPaulaNicole']
4AMilie ADORE’S day🌻,2022-10-12 14:56:43+00:00,"congrats my queen @PreciousPaulaN ..  you are a pure joy, have the warmest soul and multi talented queen.. 🥹♥️🥹♥️

#DragRacePHfinale 
#TeamPreciousPaulaNicole https://t.co/d3v3OX6Bov",
👑 ϻᴿ᭄༺♛ϻeͥђrͣaͫ♛༻ ❤️❤️ 🇮🇳🇮🇳,2022-10-12 14:47:15+00:00,"#WomensAsiaCup

Your fevrite team in this tournament 
#chainsawman 
#DragRacePHfinale 
#TeamIndia
#DragRacePHfinale #MilanChelsea #ไบร์ทตู #TeamPreciousPaulaNicole","['WomensAsiaCup', 'chainsawman', 'DragRacePHfinale', 'TeamIndia', 'DragRacePHfinale']"
Khristine Kate Perez,2022-10-12 14:47:14+00:00,goodnight ! ang sarap matulog with a Precious Heart 🫶🏻❤️  #DragRacePHfinale #DragRacePhilippines #PreciousPaulaNicole #TeamPreciousPaulaNicole https://t.co/OWj1f0YjPd,"['DragRacePHfinale', 'DragRacePhilippines']"
